code	family	bond_type	bond_essence	context_dimensions	structural_definition	smarts_essence	chemical_basis	EC_anchor	CAZy_or_KO	direction	evidence_grade	grade_definition	status	notes
G11	Glycosidic	O-beta-D-mannoside (incl. sugar chain)	O-glycosidic bond	sugar=beta-D-mannose; position=aglycone/chain	beta-D-mannose O-glycosidic bond (C2 epimer of glucose)	mannose ring; anomeric sp3 C - O - R	acetal bond; C2 epimeric configuration	EC 3.2.1.25	GH2	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	
G12	Glycosidic	O-beta-D-glucuronide	O-glycosidic bond	sugar=beta-D-glucuronic acid; position=aglycone	glucuronic acid C1-O-aglycone (C6 oxidized to COOH)	glucuronic ring (C6-COOH); anomeric C - O - aglycone	acetal bond; C6 carboxylated sugar	EC 3.2.1.31	GH2/GH79 (K01498)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	
G13	Glycosidic	O-alpha-D-apioside	O-glycosidic bond	sugar=alpha-D-apiose; position=aglycone/chain	apiose (branched pentose) O-glycosidic bond	apiose ring; anomeric C - O - R	acetal bond; branched pentose	EC 3.2.1.- (no dedicated entry; pending)	no dedicated family in reference tables	degradation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	marked pending in reference curation
G14	Glycosidic	O-glycoside (sugar species undetermined)	O-glycosidic bond	sugar=undetermined; position=undetermined	sugar ring + exocyclic O, sugar identity/config undetermined	sugar ring + anomeric sp3 C - O - R (linkage atom typing)	acetal bond established; stereochemistry missing	EC 3.2.1.- (sugar-dependent)	sugar-dependent	degradation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	upgrade target of the OPSIN name bridge (631 bonds)
G15	Glycosidic	special disaccharide/rare-sugar glycoside	O-glycosidic bond	special disaccharide or rare sugar	anomeric linkage of special disaccharides or rare sugars		acetal bond; special sugar-pair linkage	EC 3.2.1.x (sugar-dependent; trehalase GH37 etc.)	GH37 (trehalase) etc.	degradation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	merged low-frequency row
G16	Glycosidic	C-glycoside (aryl C-sugar bond)	C-glycosidic bond	heteroatom=C (aromatic ring)	direct C-C bond between sugar C1 and an aromatic carbon	anomeric C - C(aromatic) direct bond	aryl sp2 - sugar sp3 C-C bond; resistant to common glycosidases	EC 1.1.3.50 (C-glycoside oxidase) / 4.1.99.28 (deglycosidase)	atypical (literature-level; K26081 carA / K26912 carB)	degradation (oxidative + lyase)	A	dual official anchors (IUPAC term + dedicated EC entries)	official	56 compounds without direct hydrolase in reference curation; official anchors confirmed (EC 1.1.3.50/4.1.99.28); demonstrated substrate carminate-type C-glycosides
G17	Glycosidic	N-glycoside (nucleoside-type)	N-glycosidic bond	heteroatom=N (base)	anomeric C-N bond (purine/pyrimidine nucleoside)	anomeric C - N(base) bond	N-acetal bond; nucleoside linkage	EC 3.2.2.1 / 3.2.2.2	GH3 (partial; K01241)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	nucleoside hydrolases
G18	Glycosidic	S-glycoside (thioglycoside)	S-glycosidic bond	heteroatom=S	anomeric C-S bond (glucosinolate-type)	anomeric C - S bond	S-acetal bond	EC 3.2.1.147	GH1 (myrosinase)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	Brassicaceae hallmark; rare in studied data
E01	Ester	aliphatic carboxylic ester (open-chain)	carboxylic ester bond	acyl=aliphatic; ring=open-chain	R-C(=O)-O-R with aliphatic acyl carbon	[#6X3](=[#8X1])[#8X2H0] acyl-aliphatic	acyl-O bond; carboxylic acid leaving group (pKa 4-5)	EC 3.1.1.1	CE family / K01054	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	lipases (EC 3.1.1.3) also apply
E02	Ester	aromatic carboxylic ester (phenolic acid ester)	carboxylic ester bond	acyl=aromatic (phenolic acid)	aryl-C(=O)-O-R (phenolic acid acyl)	c[CX3](=[#8X1])[#8X2H0] or conjugated acyl (2 bonds to ring)	aryl conjugation lowers acyl-carbon electron density	EC 3.1.1.73	CE1/CE6 (K03326)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	feruloyl esterases specifically cleave phenolic acid esters
E03	Ester	galloyl ester (hydrolyzable tannin-type)	carboxylic ester bond	acyl=galloyl (tri-hydroxyphenyl)	3,4,5-trihydroxybenzoyl-O-sugar/polyol	c1c(O)c(O)c(C(=[#8X1]))c(O)c1	aryl + tri-phenol substituted acyl ester	EC 3.1.1.20	tannase family	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	hallmark of hydrolyzable tannins
E04	Ester	aromatic lactone (coumarin-type)	carboxylic ester bond	in-ring; fused=aromatic (coumarin-type)	ester O in-ring fused to an aromatic ring (2H-chromen-2-one type)	[#6X3](=[#8X1])[#8X2;R] with fused aromatic ring	intramolecular ester; aromatic fusion shifts carbonyl	EC 3.1.1.35	esterases (K01063)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	coumarins / terpene lactones
E05	Ester	acyl sugar ester (1-O-acyl)	carboxylic ester bond	alcohol side=sugar anomeric O	anomeric O-acyl on sugar (acyl directly on sugar O)	anomeric sp3 C - O - C(=O) (carbonyl check)	anomeric O-acyl (ester, not glycoside)	EC 3.1.1.x	carboxylesterases	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	22+5 acyl-sugar bonds in reference curation
E06	Ester	phosphate ester	phosphate ester bond	phosphoryl	P(=O)-O-C (phospho-mono/diester)	[PX4](=[#8X1])([#8X2])[#8X2]	phosphoryl-O bond	EC 3.1.3.1 / 3.1.4.1	EC 3.1.3.26 phytase (K01077)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	phytate (feed) / phospholipids
E07	Ester	sulfate ester	sulfate ester bond	sulfonyl	S(=O)2-O-C	[#16X4](=[#8X1])(=[#8X1])([#8X2])[#8X2]	sulfonyl-O bond	EC 3.1.6.1	sulfatases (K01132)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	sulfate group of glucosinolates
E08	Ester	thioester	thioester bond	acyl-S	R-C(=O)-S-R	[#6X3](=[#8X1])[#16X2][#6]	thioacyl bond	EC 3.1.2.x	thioesterases	degradation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	rare in natural products (polyketides)
E09	Ester	aliphatic lactone (gamma/delta/macro)	carboxylic ester bond	in-ring; fused=none (gamma/delta/macro)		[#6X3](=[#8X1])[#8X2;R] aliphatic ring	intramolecular ester; ring-opening equilibrium	EC 3.1.1.17 (gluconolactonase) / 3.1.1.25 (1,4-lactonase)	CE / lactonases	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	
N01	Amide-Nitrile	amide (open-chain, non-peptide)	amide bond	open-chain; N-context=non-peptide	R-C(=O)-N(R)2 open-chain (excludes peptide and lactam)	[#6X3](=[#8X1])[#7X3;!R] (non-peptide)	C-N amide bond; resonance-stabilized (15-20 kcal/mol)	EC 3.5.1.x	K01254 / proteases	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	alkaloid amides / peptides
N02	Amide-Nitrile	lactam (cyclic amide)	amide bond	in-ring (lactam)	C(=O)-N within a ring	[#6X3](=[#8X1])[#7X3;R]	cyclic amide; resonance-stabilized	EC 3.5.2.x	lactamases	degradation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	some alkaloids
N03	Amide-Nitrile	nitrile	nitrile bond	C triple-bond N	terminal R-C triple-bond N	[#6]#[#7]	sp-hybridized C triple-bond N; large dipole	EC 3.5.5.1	nitrilase (K01507)	degradation (hydration)	A	dual official anchors (IUPAC term + dedicated EC entries)	official	cyanogenic glycoside aglycones
N04	Amide-Nitrile	peptide bond (amino-acid alpha-carbon context)	amide bond	open-chain; N-context=peptide (alpha-carbon)	CalphaH-C(=O)-N-CalphaH (both sides amino-acid alpha carbons)	[#6X4][#6X3](=[#8X1])[#7X3][#6X4]	C-N amide bond; dedicated EC 3.4 subclass (557 entries)	EC 3.4.x (peptidases/proteases)	MEROPS system / K01254	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	added in v1.1: peptide bond split from N01 (EC 3.4 is an independent official subclass)
A01	Alkene-Alkyne	activated alkene (alpha,beta-unsaturated carbonyl)	alkene bond	conjugation=activated (enone)	C=C conjugated with C=O (Michael-acceptor beta-carbon)	[#6X3]=[#6X3][#6X3]=[#8X1]	conjugation lowers HOMO-LUMO gap; electrophilic beta-carbon	EC 1.3.1.x (OYE-family ene reductases)	OYE family (K00208)	reduction	A	dual official anchors (IUPAC term + dedicated EC entries)	official	chalcones / enones
A02	Alkene-Alkyne	cinnamoyl side-chain alkene (aryl-CH=CH-COX)	alkene bond	conjugation=aryl+alkene+carbonyl (cinnamoyl)	aryl-CH=CH-C(=O)X (triple conjugation: aryl + alkene + carbonyl)	[c][#6X3]=[#6X3][#6X3]=[#8X1]	triple conjugation aryl+ene+carbonyl	EC 1.3.1.x (hydroxycinnamate reductases)	OYE family	reduction	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	phenylpropanoid hallmark side chain
A03	Alkene-Alkyne	conjugated diene/polyene (incl. carotenoids)	alkene bond	conjugation=diene/polyene	C=C-C=C (non-carbonyl conjugated diene or longer)	[#6X3]=[#6X3][#6X3]=[#6X3] (non-carbonyl)	conjugated polyene; oxidative-cleavage site	EC 1.13.11.x (dioxygenases; CCO family)	CCO family (K02291)	oxidative cleavage	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	source of vomifoliol-type aglycones
A04	Alkene-Alkyne	isolated alkene (non-activated)	alkene bond	conjugation=none (isolated)	C=C without conjugation (fatty chain)	[#6X3]=[#6X3] without conjugation	no conjugation; unremarkable reactivity	none dedicated (hydratases EC 4.2.1 individually)	individual hydratases	hydration (weak)	C	chemistry only; marker type, excluded from enzyme association	marker-only	background bond type; excluded from enzyme association
A05	Alkene-Alkyne	alkyne (polyacetylene)	alkyne bond	C triple-bond C	C triple-bond C	[#6X2]#[#6X2]	sp-hybridized; addition chemistry	rare (alkyne hydratase-type)	-	—	C	chemistry only; marker type, excluded from enzyme association	marker-only	polyacetylene natural products; marker-only
T01	Ether-Epoxide	methoxy ether	ether bond	substituent=methyl	O-CH3 (aryl or alkyl)	[#8X2][#6H3] not adjacent to carbonyl C	alkyl ether; hydrolysis needs pKa-16 leaving group	EC 1.14.13.x (O-demethylating CYPs)	CYP (K00484)	oxidative O-demethylation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	O-demethylation to catechols documented
T02	Ether-Epoxide	alkyl/cyclic ether (non-methoxy)	ether bond	substituent=alkyl/cyclic (non-aryl, non-methyl)	C-O-C with both carbons non-aromatic (incl. terpene furan/pyran ring ethers)	[#6X4][#8X2][#6X4] aliphatic, excl. methoxy/epoxide/sugar-ring O	alkyl ether; inert bond	EC 3.3.2 (rare) / 1.14 CYP oxidation	CYP oxidation	oxidative cleavage	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	common in terpene ring ethers; sugar in-ring ethers excluded from counts
T03	Ether-Epoxide	aryl ether (diaryl/aryl-alkyl)	ether bond	substituent=aryl	ether O bonded to at least one aromatic carbon (excl. glycosidic bridge O)	c[#8X2]c or c[#8X2][#6X4] (excl. glycosidic bridge O, sugar-ring O, O-CH2-O)	aryl ether; CYP oxidative cleavage	EC 1.14.13.x	CYP	oxidative cleavage	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	lignans / furanocoumarins
T04	Ether-Epoxide	epoxide (three-membered cyclic ether)	ether bond	ring=three-membered (epoxide)	three-membered C-C-O ring	[#6X4]1[#8X2][#6X4]1	strained three-membered ether; nucleophilic ring opening	EC 3.3.2.3 (epoxide hydrolase)	epoxide hydrolase (K10535)	hydrolytic ring opening	A	dual official anchors (IUPAC term + dedicated EC entries)	official	terpene epoxides
T05	Ether-Epoxide	methylenedioxy bridge (O-CH2-O)	ether bond	ring=methylenedioxy (non-sugar acetal)	aromatic O-CH2-O acetal bridge (sesame-lignan type)	[#8X2][#6H2][#8X2]	non-sugar cyclic acetal; CYP demethylenation	EC 1.14.13.x (CYP demethylenation)	CYP	oxidative ring opening	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	sesamin/piperine hallmark
S01	Sulfur	thioether (C-S-C)	thioether bond	C-S-C	R-S-R	[#6][#16X2][#6]	low-electronegativity S; readily oxidized to sulfoxide	EC 3.3.1 (rare) / FMO oxidation	flavin monooxygenases	oxidation	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	volatile sulfur compounds
S02	Sulfur	disulfide (S-S)	disulfide bond	S-S	R-S-S-R	[#16X2][#16X2]	redox-sensitive bond	EC 1.8.4.x (thioredoxin/glutathione systems)	thioredoxin (K00384)	reduction	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	glutathione / peptides
C01	C-C skeleton	aryl-aryl C-C bond (biphenyl/biflavonoid)	aryl C-C bond	linkage=aryl-aryl (biphenyl)	direct C-C bond between two independent aromatic rings (amentoflavone-type biflavonoid)	aromatic-aromatic bond, different all-carbon benzene rings, neither adjacent to ring O	no heteroatom, no polarization; among the most inert bonds (laccase/peroxidase radical chemistry)	EC 1.10.3.2 (laccase) / 1.11.1 (peroxidase)	laccase (K00446) / peroxidase (K00449)	oxidative cleavage	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	Platycladus hallmark: biflavonoid amentoflavone-type linkage
C02	C-C skeleton	lignan C6-C3 skeleton C-C (8-8)	aryl C-C bond	linkage=aryl-alkyl-aryl (lignan)	Ar-CHx-CHx-Ar dibenzyl linkage (secoisolariciresinol-type)	[c][#6X4;H1,H2][#6X4;H1,H2][c]	aryl-alkyl C-C; radical substrate	EC 1.10.3 / 1.11.1 (radical oxidative cleavage)	laccase/peroxidase	oxidative cleavage	B	single anchor + literature (broad-specificity or substrate-specific enzyme)	official	secoisolariciresinol-type lignan skeleton
C03	C-C skeleton	prenyl C-C (aryl C5 side-chain)	aryl C-C bond	linkage=aryl-prenyl	aryl-C(C5 prenyl/isoprenyl) bond	[c][#6X3]([CH3])=[#6X3] or [c][#6H2][#6X3]([CH3])=[#6X3]	prenyl-aryl C-C	EC 2.5.1.x (prenyltransferases, synthesis direction)	prenyltransferase	synthesis	C	chemistry only; marker type, excluded from enzyme association	marker-only	synthesis-direction anchor; weak degradation evidence
